<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.07	74.013	74.087	73.041	73.284	61016	0	6
2020.02.10	73.116	73.667	73.048	73.394	59518	0	6
2020.02.11	73.393	73.998	73.317	73.705	48967	0	6
2020.02.12	73.703	74.291	73.676	74.148	51750	0	6
2020.02.13	74.147	74.169	73.641	73.785	64524	0	6
2020.02.14	73.773	73.981	73.604	73.693	42737	0	6
2020.02.17	73.804	73.948	73.690	73.761	34473	0	6
2020.02.18	73.759	73.769	73.184	73.458	49592	0	6
2020.02.19	73.461	74.470	73.419	74.300	49591	0	6
2020.02.20	74.305	74.412	73.785	74.137	80883	0	6
2020.02.21	74.131	74.291	73.422	73.925	72867	0	6
2020.02.24	73.317	73.905	72.995	73.089	96101	0	6
2020.02.25	73.088	73.495	72.521	72.750	116025	0	6
2020.02.26	72.749	73.008	72.218	72.250	125391	0	6
2020.02.27	72.249	72.586	71.978	71.989	147405	0	4
2020.02.28	71.974	72.197	69.373	70.294	202727	0	4
2020.03.02	69.566	71.195	69.535	70.797	112793	0	1
2020.03.03	70.819	71.506	70.286	70.488	108806	0	4
2020.03.04	70.481	71.314	70.296	71.240	83336	0	2
2020.03.05	71.241	71.421	69.946	70.193	73717	0	4
2020.03.06	70.192	70.423	69.577	69.985	105807	0	4
2020.03.09	68.858	69.174	64.346	67.352	221727	0	4
2020.03.10	67.351	68.977	67.048	68.312	259947	0	20
2020.03.11	68.312	68.777	67.606	67.722	166618	0	4
2020.03.12	67.714	67.952	65.032	66.014	160668	0	4
2020.03.13	65.997	67.740	65.520	66.694	172101	0	0
2020.03.16	66.732	67.099	64.042	64.574	163310	0	0
2020.03.17	64.587	65.828	63.916	64.700	168442	0	0
2020.03.18	64.700	64.784	61.666	62.454	166050	0	0
2020.03.19	62.454	65.526	59.863	63.612	197346	0	0
2020.03.20	63.612	65.620	62.748	64.312	185722	0	0
2020.03.23	64.285	64.887	62.912	64.732	188393	0	0
2020.03.24	64.732	66.635	64.515	66.386	161077	0	0
2020.03.25	66.386	67.702	65.916	66.170	140284	0	0
2020.03.26	66.198	66.585	64.905	66.048	136626	0	0
2020.03.27	66.040	66.924	65.479	66.555	132931	0	0
2020.03.30	66.262	66.636	65.726	66.475	120384	0	0
2020.03.31	66.475	67.260	65.576	65.955	138144	0	0
2020.04.01	65.911	66.349	64.865	65.023	115877	0	0
2020.04.02	65.049	65.620	64.389	65.335	109342	0	0
2020.04.03	65.340	65.610	64.830	65.002	96626	0	1
2020.04.06	65.113	66.594	64.862	66.460	92934	0	0
2020.04.07	66.467	67.670	66.362	67.095	98439	0	0
2020.04.08	67.095	67.928	66.470	67.789	82767	0	0
2020.04.09	67.789	68.872	67.484	68.744	83457	0	0
2020.04.10	68.745	69.028	68.428	68.822	29379	0	2
2020.04.13	68.811	68.970	68.333	68.765	55767	0	0
2020.04.14	68.727	69.258	68.503	69.059	64490	0	0
2020.04.15	69.058	69.075	67.580	67.883	68813	0	0
2020.04.16	67.875	68.279	67.586	68.278	80102	0	0
2020.04.17	68.278	68.942	68.071	68.422	78614	0	0
2020.04.20	68.287	68.893	68.180	68.181	61572	0	0
2020.04.21	68.185	68.354	67.289	67.694	76173	0	0
2020.04.22	67.684	68.463	67.533	68.110	62816	0	0
2020.04.23	68.112	69.006	67.748	68.525	71014	0	0
2020.04.24	68.525	68.741	68.213	68.741	55008	0	0
2020.04.27	68.632	69.376	68.558	69.311	52712	0	0
2020.04.28	69.335	69.562	69.029	69.341	54527	0	0
2020.04.29	69.341	69.931	69.281	69.892	52955	0	0
2020.04.30	69.825	70.168	69.241	69.737	64955	0	0
2020.05.01	69.737	69.789	68.498	68.624	52144	0	0
2020.05.04	68.452	68.713	67.990	68.525	52990	0	0
2020.05.05	68.525	68.986	68.457	68.538	50670	0	0
2020.05.06	68.519	68.621	67.843	67.843	53171	0	0
2020.05.07	67.943	69.156	67.628	68.987	55895	0	0
2020.05.08	68.987	69.724	68.987	69.643	48563	0	0
2020.05.11	69.557	70.172	69.378	69.806	54813	0	0
2020.05.12	69.806	70.153	69.136	69.281	55813	0	0
2020.05.13	69.291	69.759	68.888	69.053	66983	0	0
2020.05.14	69.053	69.394	68.548	69.270	61279	0	0
2020.05.15	69.270	69.530	68.675	68.748	52743	0	0
2020.05.18	68.726	70.071	68.625	69.958	48645	0	0
2020.05.19	69.958	70.959	69.873	70.370	56020	0	0
2020.05.20	70.370	71.031	70.268	70.870	50147	0	0
2020.05.21	70.870	71.082	70.493	70.626	52919	0	0
2020.05.22	70.626	70.793	69.938	70.321	46960	0	0
2020.05.25	70.246	70.576	70.196	70.495	30981	0	0
2020.05.26	70.459	71.782	70.361	71.465	51426	0	0
2020.05.27	71.465	71.922	70.813	71.292	67490	0	0
2020.05.28	71.307	71.775	71.014	71.394	63285	0	0
2020.05.29	71.394	71.928	71.136	71.860	72948	0	0
2020.06.01	71.682	73.190	71.601	73.116	62031	0	0
2020.06.02	73.116	74.972	72.928	74.919	67514	0	0
2020.06.03	74.919	75.763	74.404	75.336	81784	0	0
2020.06.04	75.336	76.202	74.852	75.755	76784	0	0
2020.06.05	75.755	76.746	75.590	76.328	73592	0	0
2020.06.08	76.298	76.787	75.554	76.095	61315	0	0
2020.06.09	76.095	76.269	74.467	74.971	74504	0	0
2020.06.10	74.985	75.609	74.720	74.958	82293	0	0
2020.06.11	74.953	75.039	73.084	73.227	100182	0	0
2020.06.12	73.227	74.298	72.526	73.748	105265	0	0
2020.06.15	73.378	74.340	72.650	74.254	96595	0	0
2020.06.16	74.254	75.087	73.318	73.929	92095	0	0
2020.06.17	73.921	74.306	73.462	73.641	77284	0	0
2020.06.18	73.641	73.889	72.982	73.287	76584	0	0
2020.06.19	73.287	73.822	72.971	73.041	67582	0	0
2020.06.22	72.693	73.990	72.693	73.825	58023	0	0
2020.06.23	73.825	74.419	73.200	73.811	74612	0	0
2020.06.24	73.795	74.158	73.303	73.518	73428	0	0
2020.06.25	73.502	73.869	73.312	73.815	68300	0	0
2020.06.26	73.808	73.906	73.306	73.554	59957	0	0
2020.06.29	73.435	73.984	73.326	73.800	62287	0	0
2020.06.30	73.817	74.591	73.603	74.493	66710	0	0
2020.07.01	74.506	74.698	73.851	74.306	63520	0	0
2020.07.02	74.309	74.700	74.177	74.393	64727	0	0
2020.07.03	74.409	74.670	74.323	74.596	45175	0	0
2020.07.06	74.462	75.157	74.400	74.814	51495	0	0
2020.07.07	74.849	75.057	74.558	74.682	59303	0	0
2020.07.08	74.733	74.957	74.505	74.872	60282	0	1
2020.07.09	74.865	75.057	74.565	74.643	64527	0	0
2020.07.10	74.650	74.688	73.979	74.268	56147	0	0
2020.07.13	74.290	75.006	74.189	74.456	60203	0	0
2020.07.14	74.455	74.817	74.242	74.792	73905	0	0
2020.07.15	74.780	75.273	74.686	74.930	61925	0	0
2020.07.16	74.921	75.096	74.679	74.749	61966	0	0
2020.07.17	74.738	74.963	74.685	74.862	42492	0	0
2020.07.20	74.785	75.302	74.749	75.255	44897	0	0
2020.07.21	75.239	76.312	75.100	76.117	50034	0	0
2020.07.22	76.120	76.870	75.985	76.510	53852	0	0
2020.07.23	76.524	76.707	75.772	75.846	60272	0	0
2020.07.24	75.845	75.966	74.861	75.396	62205	0	0
2020.07.27	75.140	75.420	75.004	75.332	56013	0	0
2020.07.28	75.332	75.575	75.003	75.173	60651	0	0
2020.07.29	75.187	75.513	75.082	75.406	58253	0	0
2020.07.30	75.349	75.475	74.823	75.342	61053	0	0
2020.07.31	75.323	75.919	75.013	75.648	77084	0	0
2020.08.03	75.401	75.802	75.098	75.468	67794	0	0
2020.08.04	75.467	75.780	75.385	75.694	58780	0	0
2020.08.05	75.694	76.406	75.596	75.936	59624	0	0
2020.08.06	75.921	76.437	75.660	76.364	64190	0	0
2020.08.07	76.350	76.434	75.724	75.822	61937	0	0
2020.08.10	75.776	76.017	75.682	75.747	44533	0	0
2020.08.11	75.729	76.333	75.676	76.060	58950	0	0
2020.08.12	76.050	76.714	75.859	76.563	64236	0	0
2020.08.13	76.524	76.700	76.311	76.430	54931	0	0
2020.08.14	76.422	76.540	76.148	76.432	41418	0	0
2020.08.17	76.326	76.677	76.326	76.469	41637	0	0
2020.08.18	76.447	76.547	76.114	76.343	51404	0	0
2020.08.19	76.342	76.677	76.141	76.193	56199	0	0
2020.08.20	76.193	76.312	75.609	76.088	58184	0	0
2020.08.21	76.065	76.274	75.627	75.755	53245	0	0
2020.08.24	75.521	76.147	75.521	75.901	42483	0	0
